Order Number,Order Date,Supplier Code,Supplier Name,Customer Site,Site Name,Pickup Date,Delivery Window Start,Delivery Window End,Transport Mode,Service Type,Carrier,Load ID,Shipment ID,Status,Status Timestamp,Pallets,Cartons,Weight (kg),Volume (m3),Temperature Zone,Reference Notes
4500123456,2025-01-15,SUP00123,Fresh Farms Ltd,DC0155,Woolworths Minchinbury DC,2025-01-16,2025-01-17 06:00,2025-01-17 14:00,Ambient,Primary Connect Linehaul,Primary Connect,LD987654,SH123456,In Transit,2025-01-16 11:45,12,480,3620,18.4,Ambient,On-time pickup
4500123498,2025-01-15,SUP00123,Fresh Farms Ltd,DC0542,Woolworths Melbourne Fresh DC,2025-01-16,2025-01-17 03:00,2025-01-17 08:00,Refrigerated,Chilled Metro Delivery,Primary Connect,LD987655,SH123457,Delivered,2025-01-17 05:42,8,320,2400,12.1,Chilled,Delivered early window
4500123522,2025-01-16,VEG00999,GreenLeaf Produce,DC0155,Woolworths Minchinbury DC,2025-01-17,2025-01-18 06:00,2025-01-18 14:00,Refrigerated,Produce Service,Primary Connect,LD987656,SH123458,Delayed,2025-01-17 18:20,6,240,1750,9.0,Chilled,Delay due to vehicle breakdown
4500123590,2025-01-16,MEAT00211,Country Meats Co,DC0301,Woolworths Brisbane Regional DC,2025-01-17,2025-01-18 02:00,2025-01-18 10:00,Refrigerated,Meat Linehaul,Primary Connect,LD987657,SH123459,Awaiting Pickup,2025-01-16 20:10,14,560,4100,20.2,Chilled,Carrier confirmed booking
4500123620,2025-01-17,SUP77121,Sunrise Foods Pty Ltd,DC0633,Woolworths Adelaide RDC,2025-01-18,2025-01-19 04:00,2025-01-19 12:00,Ambient,Ambient Delivery,Primary Connect,LD987658,SH123460,Booked,2025-01-17 22:48,10,400,2980,13.8,Ambient,Awaiting pickup confirmation
4500123655,2025-01-17,SUP77121,Sunrise Foods Pty Ltd,DC0542,Woolworths Melbourne Fresh DC,2025-01-18,2025-01-19 03:00,2025-01-19 07:00,Refrigerated,Chilled Delivery,Primary Connect,LD987659,SH123461,In Transit,2025-01-18 03:15,4,160,1100,7.5,Chilled,Temperature stable
4500123702,2025-01-18,TDR00333,Tender Ridge Beef,DC0301,Woolworths Brisbane Regional DC,2025-01-18,2025-01-19 02:00,2025-01-19 09:00,Refrigerated,Meat Metro Delivery,Primary Connect,LD987660,SH123462,Delivered,2025-01-19 08:54,16,640,4600,22.3,Chilled,Delivered within window
4500123725,2025-01-18,SUP00237,OceanFresh Seafood,DC0155,Woolworths Minchinbury DC,2025-01-18,2025-01-19 05:00,2025-01-19 11:00,Refrigerated,Seafood Service,Primary Connect,LD987661,SH123463,Temperature Alert,2025-01-18 19:33,5,200,1500,8.7,Frozen,Temp spike for 30 minutes
4500123799,2025-01-19,BKE00888,Bakery Co,DC0633,Woolworths Adelaide RDC,2025-01-19,2025-01-20 04:00,2025-01-20 10:00,Ambient,Ambient Linehaul,Primary Connect,LD987662,SH123464,In Transit,2025-01-19 15:10,9,360,2600,14.3,Ambient,On schedule
4500123812,2025-01-19,BKE00888,Bakery Co,DC0542,Woolworths Melbourne Fresh DC,2025-01-19,2025-01-20 02:00,2025-01-20 06:00,Ambient,Metro Delivery,Primary Connect,LD987663,SH123465,Awaiting Pickup,2025-01-19 18:44,3,120,820,5.6,Ambient,Pending pickup
12345,2025-01-20,SUP55555,Allied Foods Pty Ltd,DC0155,Woolworths Minchinbury DC,2025-01-20,2025-01-21 06:00,2025-01-21 14:00,Ambient,Ambient Delivery,Primary Connect,LD990001,SH990001,Booked,2025-01-20 09:12,7,280,2050,10.2,Ambient,New order added for testing
